country,year,location_period_id,population,area,population_density,pop_raster_filename
UGA,2013,3285,33774280,241497.9387,139.8532848,uga_ppp_2013.tif
UGA,2014,3285,34837532,241497.9387,144.2560222,uga_ppp_2014.tif
TZA_mainland,2010,15079,41148916,902086.5488,45.61526392,tza_ppp_2010.tif
TZA,2010,9124,42451960,940576.0363,45.13400125,tza_ppp_2010.tif
TZA_zanzibar,2010,15052,1212968.25,2727.801184,444.6688627,tza_ppp_2010.tif
TZA,2011,9124,43533907.5,940576.0363,46.28430432,tza_ppp_2011.tif
TZA_mainland,2011,15079,42284544,902086.5488,46.87415421,tza_ppp_2011.tif
GHA,2015,11250,28399588,238324.2712,119.1636414,gha_ppp_2015.tif
MOZ,2017,2511,27862310,787297.0329,35.38983234,moz_ppp_2017.tif
SDN,2016,16833,38185424,1871545.051,20.40315512,sdn_ppp_2016.tif
SDN,2017,16833,39245020,1871545.051,20.96931622,sdn_ppp_2017.tif
SOM,2013,2989,9184264,633536.3731,14.49682195,som_ppp_2013.tif
BDI,2013,5054,9217972,26935.29722,342.2264817,bdi_ppp_2013.tif
BEN,2010,5881,8948266,115423.1903,77.5257206,ben_ppp_2010.tif
BEN,2012,5881,9626380,115423.1903,83.40074449,ben_ppp_2012.tif
BEN,2013,5881,9987344,115423.1903,86.52805365,ben_ppp_2013.tif
BEN,2014,5881,10329386,115423.1903,89.49143,ben_ppp_2014.tif
CIV,2011,9232,20982148,321658.0721,65.23121855,civ_ppp_2011.tif
CIV,2014,9232,22657578,321658.0721,70.4399484,civ_ppp_2014.tif
CIV,2012,9232,21522688,321658.0721,66.91169869,civ_ppp_2012.tif
CMR,2011,8625,20932360,466040.0377,44.91536844,cmr_ppp_2011.tif
CMR,2018,8625,26263086,466040.0377,56.35371186,cmr_ppp_2018.tif
CMR,2019,8625,27149722,466040.0377,58.25620077,cmr_ppp_2019.tif
CMR,2010,8625,20282034,466040.0377,43.51993898,cmr_ppp_2010.tif
CMR,2012,8625,21605356,466040.0377,46.35944179,cmr_ppp_2012.tif
CMR,2014,8625,23036288,466040.0377,49.42984752,cmr_ppp_2014.tif
CMR,2015,8625,23794890,466040.0377,51.05760895,cmr_ppp_2015.tif
COD,2010,10081,70434592,2328199.663,30.25281428,cod_ppp_2010.tif
COD,2011,10081,73749536,2328199.663,31.67663718,cod_ppp_2011.tif
COD,2012,10081,77262128,2328199.663,33.18535315,cod_ppp_2012.tif
COD,2013,10081,80984400,2328199.663,34.78413011,cod_ppp_2013.tif
COD,2014,10081,84933136,2328199.663,36.48017709,cod_ppp_2014.tif
COD,2015,10081,89122144,2328199.663,38.27942484,cod_ppp_2015.tif
COD,2016,10081,93570136,2328199.663,40.18991047,cod_ppp_2016.tif
COD,2017,10081,98294576,2328199.663,42.21913506,cod_ppp_2017.tif
COD,2018,10081,103316304,2328199.663,44.37604972,cod_ppp_2018.tif
COD,2019,10081,108656592,2328199.663,46.66979114,cod_ppp_2019.tif
COD,2020,10081,114339744,2328199.663,49.11079828,cod_ppp_2020.tif
COG,2012,6963,3504177.75,341659.9799,10.25633073,cog_ppp_2012.tif
ETH,2016,9057,93305888,1129520.779,82.6066149,eth_ppp_2016.tif
ETH,2017,9057,95810024,1129520.779,84.82360466,eth_ppp_2017.tif
ETH,2018,9057,98374896,1129520.779,87.0943659,eth_ppp_2018.tif
ETH,2019,9057,101017112,1129520.779,89.43360219,eth_ppp_2019.tif
ETH,2015,9057,90884552,1129520.779,80.46293057,eth_ppp_2015.tif
ETH,2020,9057,103734880,1129520.779,91.83972703,eth_ppp_2020.tif
GHA,2011,11250,25319094,238324.2712,106.2380003,gha_ppp_2011.tif
GHA,2012,11250,26046572,238324.2712,109.2904716,gha_ppp_2012.tif
GHA,2010,11250,24619444,238324.2712,103.3022943,gha_ppp_2010.tif
GIN,2012,7192,9999382,244816.174,40.84445009,gin_ppp_2012.tif
GNB,2012,8533,1543019.625,33882.27911,45.54060899,gnb_ppp_2012.tif
KEN,2015,9931,46638128,585983.443,79.58949789,ken_ppp_2015.tif
KEN,2016,9931,48190080,585983.443,82.23795498,ken_ppp_2016.tif
KEN,2017,9931,49813776,585983.443,85.00884555,ken_ppp_2017.tif
KEN,2012,9931,42347664,585983.443,72.2676801,ken_ppp_2012.tif
KEN,2019,9931,53283588,585983.443,90.93019374,ken_ppp_2019.tif
MLI,2011,7635,15706301,1251194.073,12.5530494,mli_ppp_2011.tif
MOZ,2018,2511,28841412,787297.0329,36.633457,moz_ppp_2018.tif
MWI,2016,6892,16357077,118028.71,138.5855781,mwi_ppp_2016.tif
MWI,2018,6892,17363568,118028.71,147.1130881,mwi_ppp_2018.tif
MWI,2012,6892,14569139,118028.71,123.4372468,mwi_ppp_2012.tif
MWI,2017,6892,16849932,118028.71,142.7612994,mwi_ppp_2017.tif
NER,2012,9080,17135600,1183670.732,14.47666106,ner_ppp_2012.tif
NER,2018,9080,22004518,1183670.732,18.59006682,ner_ppp_2018.tif
NER,2010,9080,15795055,1183670.732,13.34412905,ner_ppp_2010.tif
NER,2011,9080,16449758,1183670.732,13.89724148,ner_ppp_2011.tif
NER,2013,9080,17853808,1183670.732,15.0834244,ner_ppp_2013.tif
NER,2014,9080,18606566,1183670.732,15.71937659,ner_ppp_2014.tif
NGA,2011,1123,163654928,909749.5929,179.890081,nga_ppp_2011.tif
NGA,2014,1123,179565824,909749.5929,197.3793947,nga_ppp_2014.tif
NGA,2015,1123,185231584,909749.5929,203.6072183,nga_ppp_2015.tif
NGA,2017,1123,197129392,909749.5929,216.6853314,nga_ppp_2017.tif
NGA,2018,1123,203384096,909749.5929,223.5605243,nga_ppp_2018.tif
