outbreak_number,start_weekday,country,location,temporal_scale,spatial_scale,population,area,who_region,start_date,end_date,total_suspected_cases,total_confirmed_cases,total_deaths,duration,location_period_id,threshold,cfr,confirmed_prop,population_density,attack_rate,time_to_peak..weeks.,total_suspected_cases.1,mean_R0,definition,pop_cat,confirmed_attackrate,rural_urban
1,daily_group,ETH,afr::eth::addisababa,daily,admin1,3290830,539.4659939,AFR,6/6/2016,8/28/2016,7389,2593,12,12,16657,11.46519267,0.2,35.09270537,6100.162081,2.245330035,5.43,7389,2.79,old_definition,">1,000,000",0.787947114,Urban settings
1,daily_group,ETH,afr::eth::addisababa::addisababa,daily,admin2,3290830,539.4659939,AFR,6/6/2016,8/28/2016,7389,2593,12,12,16657,11.46519267,0.2,35.09270537,6100.162081,2.245330035,5.43,7389,2.79,old_definition,">1,000,000",0.787947114,Urban settings
1,daily_group,ETH,afr::eth::addisababa::addisababa::akakikality,daily,admin3,213162,126.9109304,AFR,6/6/2016,8/28/2016,475,192,0,12,15545,16.27869883,0,40.42105263,1679.618921,2.228350676,2.86,475,2.26,old_definition,"100,000-1,000,000",0.900723393,Urban settings
1,daily_group,ETH,afr::eth::addisababa::addisababa::arada,daily,admin3,250124,9.921690006,AFR,6/6/2016,8/28/2016,443,202,1,12,15546,8.395835666,0.2,45.59819413,25209.81807,1.771116988,7.14,443,2.22,old_definition,"100,000-1,000,000",0.807599431,Urban settings
1,daily_group,ETH,afr::eth::addisababa::addisababa::bole,daily,admin3,374868,126.7294036,AFR,6/6/2016,9/18/2016,712,213,0,15,15547,8.269577558,0,29.91573034,2958.019129,1.899332699,9,712,2.71,old_definition,"100,000-1,000,000",0.568200006,Urban settings
1,daily_group,ETH,afr::eth::addisababa::addisababa::gulele,daily,admin3,310851,30.51479869,AFR,6/6/2016,8/28/2016,626,228,2,12,15548,11.35592293,0.3,36.42172524,10186.89335,2.013825345,6.57,626,2.08,old_definition,"100,000-1,000,000",0.733470376,Urban settings
1,daily_group,ETH,afr::eth::addisababa::addisababa::kirkos,daily,admin3,256812,14.63287987,AFR,6/6/2016,8/28/2016,518,259,0,12,15549,8.683394857,0,50,17550.33885,2.017037002,5,518,2.68,old_definition,"100,000-1,000,000",1.008519851,Urban settings
1,daily_group,ETH,afr::eth::addisababa::addisababa::kolfekeraniyo,daily,admin3,564510,68.48846955,AFR,6/6/2016,8/21/2016,1082,423,1,11,15550,13.58700466,0.1,39.09426987,8242.409324,1.916705675,5.14,1082,2.65,old_definition,"100,000-1,000,000",0.749322421,Urban settings
1,daily_group,ETH,afr::eth::addisababa::addisababa::lideta,daily,admin3,212717,9.182276688,AFR,6/6/2016,8/21/2016,527,222,2,11,15551,13.30406126,0.4,42.12523719,23166.04119,2.477462605,5.29,527,2.53,old_definition,"100,000-1,000,000",1.043640142,Urban settings
1,daily_group,ETH,afr::eth::addisababa::addisababa::nifassilk,daily,admin3,417408,60.4256082,AFR,6/6/2016,8/28/2016,1316,302,3,12,15552,13.00885465,0.2,22.94832827,6907.79973,3.152790555,8.43,1316,2.68,old_definition,"100,000-1,000,000",0.723512726,Urban settings
1,daily_group,ETH,afr::eth::addisababa::addisababa::yeka,daily,admin3,393021,85.40447794,AFR,6/6/2016,9/25/2016,973,289,4,16,15553,6.182875724,0.4,29.70195272,4601.878139,2.475690549,7.14,973,2.3,old_definition,"100,000-1,000,000",0.735329664,Urban settings
1,daily_group,ETH,afr::eth::afar::zone1::afambo,daily,admin3,25790,1709.912354,AFR,6/18/2018,7/22/2018,362,0,6,5,15556,394.338891,1.7,0,15.08264441,14.03624946,3.43,362,2.17,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::afar::zone1::asaita,daily,admin3,63826,1677.24738,AFR,5/21/2018,6/24/2018,846,0,9,5,15557,300.3478206,1.1,0,38.05401681,13.2547248,3,846,2.79,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::afar::zone1::mile,daily,admin3,82238,4067.788313,AFR,6/4/2018,7/8/2018,121,9,3,5,15563,47.05853742,2.5,7.438016529,20.2168829,1.471325027,2.71,121,1.41,old_definition,"10,000-100,000",0.109438459,Rural settings
1,daily_group,ETH,afr::eth::afar::zone2,daily,admin2,472966,29871.38838,AFR,9/11/2017,10/22/2017,166,0,0,6,16632,3.8691999,0,0,15.83341203,0.350976487,4.14,166,1.91,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::afar::zone2::dalol,daily,admin3,72441,2232.222703,AFR,9/26/2016,10/30/2016,24,0,0,5,15569,11.04346986,0,0,32.45240715,0.331300487,3,24,1.63,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::afar::zone2::erebti,daily,admin3,56428,2613.389615,AFR,9/19/2016,10/30/2016,27,0,2,6,15570,11.16467002,7.4,0,21.59188193,0.478478571,4,27,2.06,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::afar::zone3::amibara,daily,admin3,69388,3469.530866,AFR,9/17/2018,10/21/2018,12,0,0,5,15573,4.755865568,0,0,19.99924563,0.172939261,3.29,12,2.11,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::afar::zone4,daily,admin2,305124,11141.99142,AFR,9/9/2019,10/20/2019,52,0.5,0,6,16634,3.768959505,0,0.961538462,27.38505071,0.170422395,2.43,52,2.55,old_definition,"100,000-1,000,000",0.001638678,Rural settings
1,daily_group,ETH,afr::eth::afar::zone4::ewa,daily,admin3,64379,1444.345005,AFR,9/9/2019,10/20/2019,52,0.5,0,6,15580,17.86296774,0,0.961538462,44.57314546,0.807714695,2.43,52,2.55,old_definition,"10,000-100,000",0.007766508,Rural settings
1,daily_group,ETH,afr::eth::amhara::awi,daily,admin2,1183691,9070.495293,AFR,8/22/2016,11/6/2016,93,0,0,11,16652,0.616715004,0,0,130.4990479,0.078567785,6.57,93,1.66,old_definition,">1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::awi::ankasha,daily,admin3,93981,537.9821993,AFR,8/29/2016,10/23/2016,55,0,0,8,15590,5.001010843,0,0,174.6916536,0.585220538,5.57,55,1.82,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::bahirdar::bahirdar,daily,admin3,387416,213.437952,AFR,6/19/2017,8/13/2017,382,0,12,8,15602,11.02174407,3.1,0,1815.122364,0.986020116,3.57,382,1.99,old_definition,"100,000-1,000,000",0,Urban settings
1,daily_group,ETH,afr::eth::amhara::centralgondar::gondarzuria,daily,admin3,152510,1108.768227,AFR,8/15/2016,9/18/2016,72,0,0,5,15608,10.95010163,0,0,137.5490353,0.472098207,3.57,72,2.08,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::centralgondar::layarmacho,daily,admin3,192562,1059.351658,AFR,8/15/2016,11/6/2016,41,0,0,12,15610,2.596566301,0,0,181.7734447,0.212917815,3.29,41,1.9,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::centralgondar::tacharmacho,daily,admin3,111515,2709.641775,AFR,9/5/2016,10/30/2016,14,0,0,8,15612,2.421198942,0,0,41.15488661,0.125542866,6.43,14,1.89,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::centralgondar::tsegede,daily,admin3,86499,1879.401975,AFR,7/17/2017,9/3/2017,120,0,0,7,15614,12.71691002,0,0,46.02474678,1.387286369,4.71,120,2.08,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::centralgondar::wegera,daily,admin3,221398,1238.477778,AFR,8/29/2016,10/16/2016,205,0,0,7,15615,9.801353219,0,0,178.7662273,0.925931154,4.43,205,1.38,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::eastgojam,daily,admin2,2665181,14081.30865,AFR,8/7/2017,9/24/2017,67,4,1,7,16651,0.438994575,1.5,5.970149254,189.2708317,0.025139003,3,67,2.02,old_definition,">1,000,000",0.001500836,Rural settings
1,daily_group,ETH,afr::eth::amhara::eastgojam::debremarkos,daily,admin3,98347,65.84129944,AFR,7/31/2017,9/24/2017,27,4,0,8,15626,4.067231334,0,14.81481481,1493.697737,0.274537003,6.71,27,1.98,old_definition,"10,000-100,000",0.040672313,Urban settings
1,daily_group,ETH,afr::eth::amhara::gondar::gondar,daily,admin3,326606,292.8305431,AFR,8/15/2016,9/25/2016,39,0,0,6,15640,2.143255176,0,0,1115.341305,0.119409634,2.71,39,2,old_definition,"100,000-1,000,000",0,Urban settings
1,daily_group,ETH,afr::eth::amhara::northgondar::janamora,daily,admin3,169668,1296.696732,AFR,8/15/2016,10/9/2016,120,0,0,8,15652,8.428224533,0,0,130.8463234,0.707260796,3.14,120,2.24,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::northshewa,daily,admin2,2200160,16184.77079,AFR,7/4/2016,8/28/2016,384,0,0,8,16650,2.181659516,0,0,135.9401396,0.174532702,3.86,384,2.25,old_definition,">1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::northshewa::angolelanatera,daily,admin3,96685,807.5365188,AFR,7/25/2016,8/28/2016,9,0,0,5,15663,2.792573822,0,0,119.7283315,0.093085426,3.57,9,2.15,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::northshewa::debreberhan,daily,admin3,118482,146.3769126,AFR,7/25/2016,8/28/2016,12,0,0,5,15670,2.532030182,0,0,809.4309266,0.101280519,3,12,1.79,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::northshewa::eferatanagidem,daily,admin3,124970,511.1145077,AFR,10/3/2016,11/6/2016,9,0,0,5,15671,2.160518524,0,0,244.5048969,0.07201687,3.29,9,2.01,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::northshewa::hageremariam,daily,admin3,70309,714.9431364,AFR,7/25/2016,9/11/2016,28,0,0,7,15674,5.689172083,0,0,98.34208683,0.398237134,3.71,28,1.85,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::northshewa::kewet,daily,admin3,123538,756.6279502,AFR,8/22/2016,9/25/2016,44,0,0,5,15675,9.470770127,0,0,163.2744336,0.356163101,3.14,44,2.2,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::northshewa::menzkeyagabriel,daily,admin3,54781,544.8162801,AFR,7/4/2016,8/7/2016,39,0,0,5,15678,18.2545043,0,0,100.5494916,0.711925008,2.43,39,2.09,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::northwello,daily,admin2,1640427,11131.25852,AFR,8/1/2016,9/18/2016,61,0,0,7,16655,0.384046349,0,0,147.3712067,0.037185426,4.14,61,2.01,old_definition,">1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::northwello::meket,daily,admin3,146862,1331.77981,AFR,8/1/2016,9/4/2016,9,0,0,5,15701,2.042733995,0,0,110.2749861,0.061281707,3.14,9,1.93,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::oromiya,daily,admin2,551015,3814.731684,AFR,8/1/2016,10/23/2016,133,0,0,12,16654,1.270382839,0,0,144.4439729,0.241372383,4,133,1.76,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::oromiya::artumafursi,daily,admin3,101393,613.146455,AFR,8/8/2016,9/11/2016,25,0,0,5,15705,6.213446688,0,0,165.3650595,0.246563293,3,25,2.01,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::oromiya::batitown,daily,admin3,7143,3.636097282,AFR,9/12/2016,10/16/2016,40,0,0,5,15707,149.7970041,0,0,1964.468892,5.599443227,4,40,2.02,old_definition,"<10,000",0,Urban settings
1,daily_group,ETH,afr::eth::amhara::southgondar::eastesite|westesite,daily,admin3,384223,2142.331163,AFR,8/22/2016,10/30/2016,15,0,0,10,15715|15728,0.780796569,0,0,179.348089,0.039039786,3.43,15,1.87,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::southgondar::semada,daily,admin3,184151,1339.858462,AFR,7/3/2017,8/6/2017,181,4,9,5,15726,24.27355811,5,2.209944751,137.4406366,0.982884622,3.71,181,3.01,old_definition,"100,000-1,000,000",0.021721305,Rural settings
1,daily_group,ETH,afr::eth::amhara::southwello,daily,admin2,3207617,18535.69095,AFR,7/25/2016,9/4/2016,35,0,0,6,16656,0.208877806,0,0,173.050846,0.010911525,4.14,35,1.78,old_definition,">1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::waghimra,daily,admin2,508182,8918.570187,AFR,8/29/2016,11/13/2016,111,0,0,11,16653,1.042933437,0,0,56.98020976,0.218425655,8.71,111,1.78,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::waghimra::abergele,daily,admin3,57123,1575.210347,AFR,8/29/2016,11/13/2016,99,0,0,11,15757,9.278224183,0,0,36.26372828,1.733072506,5.71,99,1.78,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::westgojam,daily,admin2,2777558,13563.08647,AFR,9/26/2016,10/30/2016,42,0,0,5,16635,0.468037031,0,0,204.7880478,0.015121192,3.14,42,1.96,old_definition,">1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::westgojam::bahirdarzuria,daily,admin3,138714,1443.372714,AFR,3/20/2017,4/23/2017,56,9,2,5,15762,9.876436409,3.6,16.07142857,96.10407531,0.403706621,3.86,56,1.45,old_definition,"100,000-1,000,000",0.064881699,Rural settings
1,daily_group,ETH,afr::eth::amhara::westgondar,daily,admin2,282941,15286.68386,AFR,8/22/2016,10/23/2016,399,0,0,9,16649,9.436596322,0,0,18.50898485,1.410183161,5.86,399,1.98,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::westgondar::metema,daily,admin3,126619,5326.195476,AFR,10/10/2016,11/13/2016,31,0,0,5,15782,8.134640141,0,0,23.77287889,0.24482748,3.57,31,1.79,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::amhara::westgondar::mirabarmacho,daily,admin3,22454,1488.788551,AFR,8/22/2016,10/9/2016,273,0,0,7,15784,112.6748018,0,0,15.08206117,12.15809384,5.86,273,1.95,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::benishangulgumuz,daily,admin1,1016776,50237.03954,AFR,9/19/2016,11/13/2016,244,21,16,8,16680,3.707797981,6.6,8.606557377,20.23956844,0.239974134,5.43,244,1.87,old_definition,">1,000,000",0.020653517,Rural settings
1,daily_group,ETH,afr::eth::benishangulgumuz::metekel,daily,admin2,416090,25478.94105,AFR,9/5/2016,11/27/2016,224,18,16,12,16694,1.129563316,7.1,8.035714286,16.3307415,0.53834414,7.43,224,2.18,old_definition,"100,000-1,000,000",0.043259872,Rural settings
1,daily_group,ETH,afr::eth::benishangulgumuz::metekel::wenbera,daily,admin3,79286,7154.638234,AFR,9/5/2016,11/27/2016,118,7,14,12,15791,5.927906566,11.9,5.93220339,11.08176226,1.488282045,5.43,118,2.18,old_definition,"10,000-100,000",0.08828797,Rural settings
1,daily_group,ETH,afr::eth::diredawa,daily,admin1,427032,1053.55836,AFR,8/15/2016,10/30/2016,48,12,0,11,16682,0.936697952,0,25,405.3235361,0.112403532,9.29,48,1.87,old_definition,"100,000-1,000,000",0.028100939,Rural settings
1,daily_group,ETH,afr::eth::harari::harari::direteyara,daily,admin3,10211,11.36141122,AFR,8/1/2016,9/4/2016,12,0,0,5,15837,39.17344041,0,0,898.7439854,1.175185904,3.43,12,2,old_definition,"10,000-100,000",0,Rural settings
1,daily_group,ETH,afr::eth::harari::harari::shenkor,daily,admin3,22131,27.13932263,AFR,7/18/2016,8/21/2016,14,3,0,5,15841,14.91121052,0,21.42857143,815.4588197,0.632584975,1.71,14,1.98,old_definition,"10,000-100,000",0.135556459,Rural settings
1,daily_group,ETH,afr::eth::oromia::arsi::merti,daily,admin3,108056,872.1942023,AFR,8/22/2016,10/9/2016,52,0,0,7,15860,7.125934701,0,0,123.8898398,0.48123018,4.14,52,1.93,old_definition,"100,000-1,000,000",0,Rural settings
1,daily_group,ETH,afr::eth::oromia::arsi::munessa,daily,admin3,221060,1072.36968,AFR,9/12/2016,10/16/2016,14,0,0,5,15861,2.126119606,0,0,206.1415985,0.063331195,2.14,14,2.19,old_definition,"100,000-1,000,000",0,Rural settings
