outbreak_number,location,start_weekday,duration,threshold,total_suspected_cases,attack_rate,total_deaths,cfr,spatial_scale,temporal_scale,country,population,area,mean_R0,population_density,rural_urban,pop_cat
1,afr::ago::cabinda,Sunday,7,0.100955851,61,0.062538281,,,First administrative level,weekly,AGO,975402.6,7050.124134,1.94,138.3525427,rural,"Population <1,000,000"
1,afr::ben::atlantique::abomeycalavi,Monday,10,0.012352935,16,0.024411397,,,Second administrative level,weekly,BEN,655431.6,511.019143,2.02,1282.596961,urban,"Population <1,000,000"
1,afr::ben::atlantique::soava,Monday,6,0.168660041,62,0.108555355,0,0,Second administrative level,weekly,BEN,571137.2,511.019143,1.58,1117.643454,urban,"Population <1,000,000"
1,afr::ben::collines::savalou,Monday,16,0.278344433,202,1.439297612,2,0.99009901,Second administrative level,weekly,BEN,140346.2,2662.658461,2.06,52.70905077,rural,"Population <1,000,000"
1,afr::ben::donga::djougou,Monday,11,0.160479722,215,0.831574195,1,0.465116279,Second administrative level,weekly,BEN,258545.8,4201.04414,1.8,61.54322387,rural,"Population <1,000,000"
1,afr::ben::oueme::aguegues,Monday,6,0.515226826,48,1.232645237,0,0,Second administrative level,weekly,BEN,38940.6,146.2136566,1.87,266.3266955,rural,"Population <100,000"
1,afr::ben::oueme::bonou,Monday,6,0.669346484,59,1.482447998,2,3.389830508,Second administrative level,weekly,BEN,39799,313.0287628,1.95,127.1416711,rural,"Population <100,000"
1,afr::civ::abidjan::abidjanville,Monday,6,0.017014641,22,0.004988488,0,0,Second administrative level,weekly,CIV,4410154,622.6197422,1.84,7083.222232,urban,"Population >1,000,000"
1,afr::civ::comoe::sudcomoe::aboisso,Monday,9,0.5053327,197,0.653855768,11,5.583756345,Third administrative level,weekly,CIV,301289.7,4638.31413,1.69,64.95672599,rural,"Population <1,000,000"
1,afr::civ::comoe::sudcomoe::adiake,Monday,9,1.304968545,128,1.559735964,8,6.25,Third administrative level,weekly,CIV,82065.2,846.8428139,1.69,96.90724023,rural,"Population <100,000"
1,afr::cmr::adamaoua::ngaoundereurbanhealthdistrict,Monday,15,0.233992369,49,0.759537159,2,4.081632653,Second administrative level,weekly,CMR,64513,741.5119609,2.05,87.00196814,rural,"Population <100,000"
1,afr::cmr::centre::bafiahealthdistrict,Monday,8,0.110379275,46,0.319298203,3,6.52173913,Second administrative level,weekly,CMR,144066,3485.082355,1.77,41.33790405,rural,"Population <1,000,000"
1,afr::cmr::centre::biyemassihealthdistrict,Monday,40,0.810139226,1012,3.892217404,20,1.976284585,Second administrative level,weekly,CMR,260006,20.26676011,2.07,12829.18427,urban,"Population <1,000,000"
1,afr::cmr::centre::citevertehealthdistrict,Monday,47,2.547023797,559,11.51419594,29,5.18783542,Second administrative level,weekly,CMR,48548.8,19.0637821,2.03,2546.651013,urban,"Population <100,000"
1,afr::cmr::centre::efoulanhealthdistrict,Monday,10,0.06536556,101,0.19998979,9,8.910891089,Second administrative level,weekly,CMR,505025.8,77.39224975,2.3,6525.534555,urban,"Population <1,000,000"
1,afr::cmr::farnorth,Monday,22,0.126978531,328,0.072540357,11,3.353658537,First administrative level,weekly,CMR,4521621,34294.17995,1.96,131.8480572,rural,"Population >1,000,000"
1,afr::cmr::farnorth::bogohealthdistrict,Monday,6,0.097570163,15,0.107969268,1,6.666666667,Second administrative level,weekly,CMR,138928.4,943.7755339,1.82,147.2049179,rural,"Population <1,000,000"
1,afr::cmr::farnorth::bourhahealthdistrict,Monday,21,0.163932389,55,0.246740225,2,3.636363636,Second administrative level,weekly,CMR,222906.5,765.4304977,1.68,291.2171656,rural,"Population <1,000,000"
1,afr::cmr::farnorth::fotokolhealthdistrict,Monday,8,5.901896075,270,4.097602132,,,Second administrative level,weekly,CMR,65892.2,363.0098685,2.74,181.5162774,rural,"Population <100,000"
1,afr::cmr::farnorth::guidiguishealthdistrict,Monday,12,0.207061618,54,0.651551157,6,11.11111111,Second administrative level,weekly,CMR,82879.1,1052.529165,2.04,78.74280614,rural,"Population <100,000"
1,afr::cmr::farnorth::hinahealthdistrict,Monday,22,0.397711176,54,0.258103351,10,18.51851852,Second administrative level,weekly,CMR,209218.5,948.6867617,1.96,220.5348577,rural,"Population <1,000,000"
