"outbreak_number","location","start_weekday","duration","threshold","total_suspected_cases","attack_rate","total_deaths","cfr","spatial_scale","temporal_scale","country","population","area","mean_R0","population_density","rural_urban","pop_cat"
1,"afr::ago::cabinda","Sunday",7,0.100955850539573,61,0.0625382814698111,,,"First administrative level","weekly","AGO",975402.6,7050.124134,1.94,138.352542658932,"rural","Population <1,000,000"
1,"afr::ben::atlantique::abomeycalavi","Monday",10,0.0123529351496579,16,0.0244113968802044,,,"Second administrative level","weekly","BEN",655431.6,511.019143,2.02,1282.59696134319,"urban","Population <1,000,000"
1,"afr::ben::atlantique::soava","Monday",6,0.168660040659087,62,0.108555354750035,0,0,"Second administrative level","weekly","BEN",571137.2,511.019143,1.58,1117.64345391656,"urban","Population <1,000,000"
1,"afr::ben::collines::savalou","Monday",16,0.27834443326448,202,1.43929761207745,2,0.99009900990099,"Second administrative level","weekly","BEN",140346.2,2662.658461,2.06,52.7090507684906,"rural","Population <1,000,000"
1,"afr::ben::donga::djougou","Monday",11,0.160479721933715,215,0.831574195334119,1,0.465116279069767,"Second administrative level","weekly","BEN",258545.8,4201.04414,1.8,61.5432238710065,"rural","Population <1,000,000"
1,"afr::ben::oueme::aguegues","Monday",6,0.515226825629726,48,1.23264523681625,0,0,"Second administrative level","weekly","BEN",38940.6,146.2136566,1.87,266.326695505131,"rural","Population <100,000"
1,"afr::ben::oueme::bonou","Monday",6,0.669346484348419,59,1.48244799825844,2,3.38983050847458,"Second administrative level","weekly","BEN",39799,313.0287628,1.95,127.141671084802,"rural","Population <100,000"
1,"afr::civ::abidjan::abidjanville","Monday",6,0.0170146413181359,22,0.00498848793035345,0,0,"Second administrative level","weekly","CIV",4410154,622.6197422,1.84,7083.22223194676,"urban","Population >1,000,000"
1,"afr::civ::comoe::sudcomoe::aboisso","Monday",9,0.505332699884969,197,0.653855767964179,11,5.58375634517767,"Third administrative level","weekly","CIV",301289.7,4638.31413,1.69,64.9567259904408,"rural","Population <1,000,000"
1,"afr::civ::comoe::sudcomoe::adiake","Monday",9,1.30496854458528,128,1.55973596442309,8,6.25,"Third administrative level","weekly","CIV",82065.2,846.8428139,1.69,96.9072402256822,"rural","Population <100,000"
1,"afr::cmr::adamaoua::ngaoundereurbanhealthdistrict","Monday",15,0.233992369492949,49,0.759537159465444,2,4.08163265306122,"Second administrative level","weekly","CMR",64513,741.5119609,2.05,87.0019681431682,"rural","Population <100,000"
1,"afr::cmr::centre::bafiahealthdistrict","Monday",8,0.110379275495897,46,0.319298203372782,3,6.52173913043478,"Second administrative level","weekly","CMR",144066,3485.082355,1.77,41.3379040507638,"rural","Population <1,000,000"
1,"afr::cmr::centre::biyemassihealthdistrict","Monday",40,0.81013922579832,1012,3.89221740409147,20,1.97628458498024,"Second administrative level","weekly","CMR",260006,20.26676011,2.07,12829.1842696509,"urban","Population <1,000,000"
1,"afr::cmr::centre::citevertehealthdistrict","Monday",47,2.54702379686405,559,11.5141959389415,29,5.18783542039356,"Second administrative level","weekly","CMR",48548.8,19.0637821,2.03,2546.65101317959,"urban","Population <100,000"
1,"afr::cmr::centre::efoulanhealthdistrict","Monday",10,0.0653655600750165,101,0.199989790125195,9,8.91089108910891,"Second administrative level","weekly","CMR",505025.8,77.39224975,2.3,6525.53455457599,"urban","Population <1,000,000"
1,"afr::cmr::farnorth","Monday",22,0.126978530822431,328,0.0725403566552792,11,3.35365853658537,"First administrative level","weekly","CMR",4521621,34294.17995,1.96,131.848057209486,"rural","Population >1,000,000"
1,"afr::cmr::farnorth::bogohealthdistrict","Monday",6,0.0975701634202281,15,0.107969267897509,1,6.66666666666667,"Second administrative level","weekly","CMR",138928.4,943.7755339,1.82,147.204917917188,"rural","Population <1,000,000"
1,"afr::cmr::farnorth::bourhahealthdistrict","Monday",21,0.163932389180031,55,0.246740225161671,2,3.63636363636364,"Second administrative level","weekly","CMR",222906.5,765.4304977,1.68,291.217165594786,"rural","Population <1,000,000"
1,"afr::cmr::farnorth::fotokolhealthdistrict","Monday",8,5.90189607501384,270,4.09760213208104,,,"Second administrative level","weekly","CMR",65892.2,363.0098685,2.74,181.516277428695,"rural","Population <100,000"
1,"afr::cmr::farnorth::guidiguishealthdistrict","Monday",12,0.207061618360785,54,0.651551157417663,6,11.1111111111111,"Second administrative level","weekly","CMR",82879.1,1052.529165,2.04,78.7428061435238,"rural","Population <100,000"
1,"afr::cmr::farnorth::hinahealthdistrict","Monday",22,0.397711175853409,54,0.258103351123993,10,18.5185185185185,"Second administrative level","weekly","CMR",209218.5,948.6867617,1.96,220.534857706975,"rural","Population <1,000,000"
1,"afr::cmr::farnorth::kaelehealthdistrict","Monday",22,0.505277959789839,307,1.83029713730088,25,8.14332247557003,"Second administrative level","weekly","CMR",167732.3,1024.82822,1.48,163.668697569628,"rural","Population <1,000,000"
1,"afr::cmr::farnorth::kolofatahealthdistrict","Monday",20,2.64341808738493,1416,10.6670709506646,63,4.44915254237288,"Second administrative level","weekly","CMR",132745,767.4268161,1.68,172.974148433592,"rural","Population <1,000,000"
